model,scenario,selection,A_attribute_1,A_attribute_2,A_attribute_3,A_attribute_4,A_attribute_5,B_attribute_1,B_attribute_2,B_attribute_3,B_attribute_4,B_attribute_5
qwen2.5-7b-instruct,cake_pan,B,12.0,2.5,7.0,8.0,871.0,7.0,1.9,4.0,5.0,330.0
qwen2.5-7b-instruct,cake_pan,A,6.0,2.9,10.0,4.0,561.0,9.0,2.6,9.0,4.0,667.0
qwen2.5-7b-instruct,cake_pan,B,10.0,2.8,9.0,2.0,833.0,8.0,3.1,8.0,7.0,423.0
qwen2.5-7b-instruct,cake_pan,B,13.0,1.7,7.0,5.0,554.0,13.0,3.5,7.0,4.0,271.0
qwen2.5-7b-instruct,cake_pan,B,10.0,2.1,3.0,10.0,156.0,13.0,2.4,4.0,4.0,124.0
qwen2.5-7b-instruct,cake_pan,A,10.0,1.9,5.0,4.0,900.0,13.0,2.6,7.0,9.0,360.0
qwen2.5-7b-instruct,cake_pan,B,7.0,2.1,3.0,7.0,405.0,9.0,3.5,3.0,8.0,651.0
qwen2.5-7b-instruct,cake_pan,B,9.0,3.6,4.0,9.0,930.0,10.0,3.2,10.0,8.0,763.0
qwen2.5-7b-instruct,cake_pan,B,13.0,3.8,8.0,10.0,327.0,11.0,3.2,4.0,5.0,216.0
qwen2.5-7b-instruct,cake_pan,A,14.0,2.4,5.0,9.0,227.0,14.0,1.8,1.0,4.0,391.0
qwen2.5-7b-instruct,cake_pan,A,13.0,3.7,8.0,5.0,566.0,8.0,3.6,5.0,4.0,656.0
qwen2.5-7b-instruct,cake_pan,B,7.0,2.3,9.0,2.0,185.0,8.0,2.1,5.0,3.0,376.0
qwen2.5-7b-instruct,cake_pan,A,8.0,2.1,6.0,4.0,404.0,12.0,1.7,2.0,9.0,458.0
qwen2.5-7b-instruct,cake_pan,A,12.0,1.8,6.0,9.0,371.0,12.0,3.0,5.0,10.0,423.0
qwen2.5-7b-instruct,cake_pan,B,10.0,3.0,4.0,9.0,618.0,11.0,2.8,10.0,10.0,849.0
qwen2.5-7b-instruct,cake_pan,B,10.0,2.5,6.0,1.0,153.0,14.0,1.8,9.0,7.0,919.0
qwen2.5-7b-instruct,cake_pan,B,7.0,2.3,8.0,1.0,151.0,9.0,1.9,2.0,7.0,137.0
qwen2.5-7b-instruct,cake_pan,B,14.0,3.1,1.0,9.0,279.0,10.0,2.9,2.0,6.0,107.0
qwen2.5-7b-instruct,cake_pan,B,8.0,3.8,8.0,6.0,698.0,13.0,1.8,5.0,2.0,161.0
qwen2.5-7b-instruct,cake_pan,B,7.0,2.0,1.0,3.0,410.0,11.0,3.6,9.0,7.0,532.0
qwen2.5-7b-instruct,cake_pan,B,13.0,1.9,2.0,8.0,646.0,8.0,2.4,4.0,5.0,456.0
qwen2.5-7b-instruct,cake_pan,B,9.0,3.5,8.0,6.0,499.0,8.0,3.4,10.0,3.0,718.0
qwen2.5-7b-instruct,cake_pan,A,12.0,3.1,1.0,6.0,242.0,8.0,2.9,7.0,7.0,755.0
qwen2.5-7b-instruct,cake_pan,B,12.0,2.7,1.0,8.0,832.0,13.0,3.0,1.0,3.0,153.0
qwen2.5-7b-instruct,cake_pan,B,11.0,2.9,3.0,10.0,979.0,13.0,2.7,4.0,3.0,833.0
qwen2.5-7b-instruct,cake_pan,B,12.0,2.2,9.0,6.0,442.0,9.0,3.3,5.0,7.0,166.0
qwen2.5-7b-instruct,cake_pan,B,12.0,2.2,9.0,3.0,367.0,10.0,2.5,6.0,9.0,241.0
qwen2.5-7b-instruct,cake_pan,B,12.0,3.2,8.0,5.0,482.0,9.0,2.7,3.0,3.0,502.0
qwen2.5-7b-instruct,cake_pan,A,8.0,2.7,6.0,4.0,212.0,11.0,3.7,3.0,7.0,676.0
qwen2.5-7b-instruct,cake_pan,B,13.0,3.2,4.0,3.0,845.0,8.0,1.5,9.0,3.0,347.0
qwen2.5-7b-instruct,cake_pan,B,9.0,2.1,8.0,4.0,469.0,9.0,3.6,1.0,6.0,175.0
qwen2.5-7b-instruct,cake_pan,B,7.0,3.0,4.0,2.0,609.0,13.0,3.1,5.0,8.0,920.0
qwen2.5-7b-instruct,cake_pan,A,7.0,2.2,10.0,9.0,243.0,12.0,3.7,6.0,7.0,548.0
qwen2.5-7b-instruct,cake_pan,A,8.0,2.0,2.0,7.0,181.0,11.0,2.5,5.0,10.0,422.0
qwen2.5-7b-instruct,cake_pan,A,10.0,2.4,3.0,3.0,556.0,13.0,1.7,10.0,7.0,101.0
qwen2.5-7b-instruct,cake_pan,B,12.0,2.5,6.0,2.0,535.0,10.0,3.5,6.0,7.0,748.0
qwen2.5-7b-instruct,cake_pan,B,8.0,1.6,5.0,2.0,185.0,9.0,2.8,7.0,7.0,946.0
qwen2.5-7b-instruct,cake_pan,B,7.0,2.9,2.0,7.0,466.0,7.0,2.3,7.0,5.0,947.0
qwen2.5-7b-instruct,cake_pan,B,9.0,2.4,9.0,6.0,152.0,12.0,2.4,10.0,7.0,815.0
qwen2.5-7b-instruct,cake_pan,B,13.0,2.8,10.0,1.0,373.0,13.0,1.5,7.0,10.0,730.0
qwen2.5-7b-instruct,cake_pan,A,13.0,1.7,6.0,6.0,464.0,9.0,3.5,2.0,1.0,613.0
qwen2.5-7b-instruct,cake_pan,B,14.0,3.6,7.0,4.0,909.0,6.0,2.1,8.0,9.0,433.0
qwen2.5-7b-instruct,cake_pan,B,13.0,1.8,6.0,2.0,272.0,8.0,1.5,5.0,6.0,317.0
qwen2.5-7b-instruct,cake_pan,B,11.0,1.6,6.0,6.0,433.0,13.0,1.8,5.0,5.0,404.0
qwen2.5-7b-instruct,cake_pan,A,14.0,2.9,6.0,5.0,466.0,14.0,3.5,7.0,2.0,615.0
qwen2.5-7b-instruct,cake_pan,B,7.0,2.4,1.0,7.0,979.0,11.0,2.9,3.0,5.0,491.0
qwen2.5-7b-instruct,cake_pan,B,9.0,2.2,3.0,8.0,955.0,13.0,3.1,1.0,4.0,848.0
qwen2.5-7b-instruct,cake_pan,A,14.0,2.9,6.0,7.0,285.0,12.0,2.4,9.0,5.0,680.0
qwen2.5-7b-instruct,cake_pan,A,10.0,2.8,5.0,10.0,767.0,9.0,2.8,9.0,8.0,670.0
qwen2.5-7b-instruct,cake_pan,B,14.0,1.8,6.0,7.0,482.0,14.0,3.9,5.0,7.0,777.0
qwen2.5-7b-instruct,cake_pan,A,12.0,2.4,8.0,4.0,190.0,11.0,3.1,5.0,5.0,989.0
qwen2.5-7b-instruct,cake_pan,A,12.0,2.5,9.0,6.0,435.0,11.0,3.5,9.0,7.0,684.0
qwen2.5-7b-instruct,cake_pan,B,9.0,1.6,5.0,2.0,945.0,9.0,3.0,8.0,3.0,842.0
qwen2.5-7b-instruct,cake_pan,B,9.0,1.7,6.0,5.0,923.0,10.0,1.7,1.0,1.0,519.0
qwen2.5-7b-instruct,cake_pan,B,12.0,1.6,4.0,5.0,903.0,14.0,3.7,7.0,6.0,262.0
qwen2.5-7b-instruct,cake_pan,B,11.0,1.9,4.0,8.0,590.0,12.0,2.7,4.0,6.0,595.0
qwen2.5-7b-instruct,cake_pan,B,8.0,3.6,10.0,3.0,280.0,12.0,3.3,3.0,6.0,276.0
qwen2.5-7b-instruct,cake_pan,A,13.0,3.0,6.0,2.0,435.0,10.0,2.4,3.0,3.0,715.0
qwen2.5-7b-instruct,cake_pan,B,13.0,3.6,7.0,8.0,177.0,8.0,3.3,1.0,2.0,790.0
qwen2.5-7b-instruct,cake_pan,B,8.0,2.0,5.0,9.0,60.0,13.0,2.3,6.0,5.0,166.0
qwen2.5-7b-instruct,cake_pan,A,14.0,1.9,8.0,9.0,481.0,14.0,1.7,2.0,5.0,121.0
qwen2.5-7b-instruct,cake_pan,B,12.0,2.8,8.0,4.0,76.0,13.0,2.0,5.0,2.0,608.0
qwen2.5-7b-instruct,cake_pan,B,10.0,2.0,1.0,4.0,794.0,7.0,2.1,7.0,7.0,814.0
qwen2.5-7b-instruct,cake_pan,A,11.0,3.6,2.0,9.0,77.0,7.0,1.8,8.0,6.0,925.0
qwen2.5-7b-instruct,pin_cushion,B,16.0,479.0,7.0,1.4,44.0,12.0,138.0,6.0,0.6,16.0
qwen2.5-7b-instruct,pin_cushion,B,11.0,374.0,9.0,2.4,19.0,12.0,492.0,7.0,1.7,24.0
qwen2.5-7b-instruct,pin_cushion,A,3.0,331.0,10.0,0.8,40.0,15.0,209.0,9.0,0.9,24.0
qwen2.5-7b-instruct,pin_cushion,B,10.0,446.0,6.0,0.7,43.0,10.0,401.0,4.0,1.3,18.0
qwen2.5-7b-instruct,pin_cushion,A,5.0,247.0,5.0,2.1,40.0,7.0,466.0,7.0,1.4,21.0
qwen2.5-7b-instruct,pin_cushion,A,15.0,346.0,2.0,2.2,26.0,8.0,394.0,4.0,1.2,31.0
qwen2.5-7b-instruct,pin_cushion,B,15.0,89.0,9.0,2.3,20.0,11.0,330.0,8.0,1.8,24.0
qwen2.5-7b-instruct,pin_cushion,A,9.0,157.0,6.0,1.5,18.0,5.0,205.0,5.0,1.9,37.0
qwen2.5-7b-instruct,pin_cushion,B,6.0,300.0,5.0,1.1,19.0,15.0,470.0,9.0,0.9,20.0
qwen2.5-7b-instruct,pin_cushion,B,3.0,185.0,5.0,0.5,28.0,12.0,425.0,4.0,0.5,39.0
qwen2.5-7b-instruct,pin_cushion,B,7.0,191.0,3.0,1.2,23.0,6.0,155.0,6.0,2.5,24.0
qwen2.5-7b-instruct,pin_cushion,A,8.0,268.0,9.0,2.4,45.0,4.0,412.0,4.0,1.9,31.0
qwen2.5-7b-instruct,pin_cushion,A,10.0,195.0,3.0,0.5,43.0,14.0,257.0,3.0,2.6,30.0
qwen2.5-7b-instruct,pin_cushion,A,9.0,338.0,3.0,1.0,39.0,12.0,493.0,5.0,2.9,42.0
qwen2.5-7b-instruct,pin_cushion,A,9.0,451.0,3.0,0.7,39.0,4.0,282.0,8.0,2.2,22.0
qwen2.5-7b-instruct,pin_cushion,B,13.0,69.0,6.0,2.7,31.0,6.0,499.0,8.0,2.5,42.0
qwen2.5-7b-instruct,pin_cushion,A,15.0,308.0,9.0,1.8,23.0,6.0,168.0,2.0,2.0,27.0
qwen2.5-7b-instruct,pin_cushion,A,15.0,73.0,8.0,1.0,25.0,6.0,481.0,7.0,1.7,21.0
qwen2.5-7b-instruct,pin_cushion,A,3.0,215.0,10.0,1.6,35.0,14.0,71.0,5.0,1.5,22.0
qwen2.5-7b-instruct,pin_cushion,A,7.0,357.0,3.0,2.2,24.0,11.0,128.0,8.0,1.5,40.0
qwen2.5-7b-instruct,pin_cushion,B,16.0,312.0,2.0,1.4,44.0,11.0,391.0,6.0,2.9,42.0
qwen2.5-7b-instruct,pin_cushion,B,11.0,315.0,3.0,0.5,21.0,12.0,431.0,8.0,2.7,16.0
qwen2.5-7b-instruct,pin_cushion,A,2.0,165.0,2.0,2.0,43.0,15.0,98.0,7.0,2.2,35.0
qwen2.5-7b-instruct,pin_cushion,A,8.0,156.0,9.0,2.8,36.0,10.0,65.0,4.0,1.1,22.0
qwen2.5-7b-instruct,pin_cushion,A,5.0,351.0,7.0,0.9,42.0,2.0,480.0,7.0,2.1,23.0
qwen2.5-7b-instruct,pin_cushion,B,12.0,444.0,4.0,0.8,39.0,5.0,97.0,6.0,1.0,21.0
qwen2.5-7b-instruct,pin_cushion,A,6.0,88.0,9.0,1.9,35.0,6.0,399.0,10.0,3.0,16.0
qwen2.5-7b-instruct,pin_cushion,A,6.0,90.0,6.0,2.1,33.0,7.0,484.0,7.0,3.0,28.0
qwen2.5-7b-instruct,pin_cushion,B,11.0,95.0,6.0,2.1,22.0,11.0,110.0,6.0,2.0,29.0
qwen2.5-7b-instruct,pin_cushion,A,4.0,136.0,5.0,2.1,28.0,5.0,202.0,4.0,0.8,33.0
qwen2.5-7b-instruct,pin_cushion,B,9.0,196.0,2.0,2.8,16.0,4.0,182.0,8.0,2.8,38.0
qwen2.5-7b-instruct,pin_cushion,A,5.0,428.0,2.0,0.8,18.0,10.0,317.0,7.0,2.9,38.0
qwen2.5-7b-instruct,pin_cushion,A,12.0,128.0,9.0,2.8,40.0,3.0,371.0,6.0,1.8,23.0
qwen2.5-7b-instruct,pin_cushion,B,13.0,413.0,8.0,1.3,37.0,3.0,356.0,2.0,0.5,18.0
qwen2.5-7b-instruct,pin_cushion,A,11.0,493.0,6.0,2.1,33.0,14.0,486.0,9.0,1.3,17.0
qwen2.5-7b-instruct,pin_cushion,A,15.0,176.0,8.0,2.7,20.0,5.0,240.0,9.0,2.6,45.0
qwen2.5-7b-instruct,pin_cushion,A,6.0,330.0,9.0,1.4,33.0,5.0,436.0,6.0,1.7,35.0
qwen2.5-7b-instruct,pin_cushion,A,6.0,416.0,6.0,1.6,37.0,11.0,369.0,9.0,2.5,27.0
qwen2.5-7b-instruct,pin_cushion,A,11.0,439.0,2.0,2.1,31.0,8.0,104.0,4.0,2.4,42.0
qwen2.5-7b-instruct,pin_cushion,A,16.0,390.0,9.0,2.6,20.0,12.0,441.0,8.0,1.2,36.0
qwen2.5-7b-instruct,pin_cushion,A,7.0,245.0,8.0,2.2,19.0,11.0,77.0,4.0,2.6,42.0
qwen2.5-7b-instruct,pin_cushion,A,6.0,394.0,3.0,1.7,25.0,3.0,245.0,6.0,2.6,18.0
qwen2.5-7b-instruct,pin_cushion,B,6.0,52.0,4.0,1.2,40.0,15.0,147.0,6.0,1.8,30.0
qwen2.5-7b-instruct,pin_cushion,B,15.0,478.0,2.0,1.5,31.0,11.0,289.0,9.0,0.7,29.0
qwen2.5-7b-instruct,pin_cushion,A,14.0,127.0,3.0,2.0,19.0,10.0,106.0,3.0,1.3,38.0
qwen2.5-7b-instruct,pin_cushion,B,11.0,324.0,7.0,1.5,44.0,10.0,333.0,3.0,1.1,33.0
qwen2.5-7b-instruct,pin_cushion,A,15.0,367.0,2.0,2.5,21.0,10.0,136.0,2.0,2.4,30.0
qwen2.5-7b-instruct,pin_cushion,A,10.0,367.0,7.0,1.5,25.0,9.0,161.0,4.0,2.5,25.0
qwen2.5-7b-instruct,pin_cushion,B,12.0,356.0,6.0,2.5,25.0,2.0,432.0,8.0,2.3,43.0
qwen2.5-7b-instruct,pin_cushion,A,8.0,242.0,7.0,2.7,23.0,13.0,481.0,4.0,0.5,20.0
qwen2.5-7b-instruct,pin_cushion,B,11.0,147.0,10.0,0.7,42.0,7.0,464.0,5.0,0.8,35.0
qwen2.5-7b-instruct,pin_cushion,A,6.0,473.0,9.0,1.1,30.0,10.0,398.0,4.0,1.9,31.0
qwen2.5-7b-instruct,pin_cushion,B,10.0,300.0,5.0,1.5,27.0,16.0,285.0,3.0,1.5,38.0
qwen2.5-7b-instruct,pin_cushion,A,12.0,86.0,5.0,1.6,40.0,6.0,462.0,9.0,0.5,30.0
qwen2.5-7b-instruct,pin_cushion,A,9.0,334.0,9.0,1.0,40.0,2.0,425.0,4.0,0.6,39.0
qwen2.5-7b-instruct,pin_cushion,A,16.0,346.0,8.0,1.5,22.0,11.0,414.0,4.0,1.4,23.0
qwen2.5-7b-instruct,pin_cushion,B,6.0,440.0,2.0,0.6,21.0,13.0,307.0,8.0,2.2,42.0
qwen2.5-7b-instruct,pin_cushion,B,10.0,60.0,3.0,1.5,19.0,6.0,174.0,10.0,2.9,35.0
qwen2.5-7b-instruct,pin_cushion,A,8.0,236.0,3.0,1.6,19.0,9.0,417.0,5.0,2.3,39.0
qwen2.5-7b-instruct,pin_cushion,A,15.0,242.0,4.0,2.7,30.0,6.0,358.0,9.0,3.0,26.0
qwen2.5-7b-instruct,pin_cushion,B,6.0,163.0,4.0,1.0,43.0,11.0,73.0,3.0,1.0,44.0
qwen2.5-7b-instruct,pin_cushion,B,7.0,413.0,4.0,1.0,43.0,3.0,275.0,6.0,1.3,38.0
qwen2.5-7b-instruct,pin_cushion,B,14.0,153.0,4.0,1.7,29.0,11.0,398.0,5.0,2.9,29.0
qwen2.5-7b-instruct,pin_cushion,A,2.0,240.0,6.0,1.0,41.0,10.0,284.0,4.0,0.8,23.0
qwen2.5-7b-instruct,pin_cushion,B,11.0,357.0,7.0,0.6,38.0,12.0,357.0,6.0,2.6,44.0
qwen2.5-7b-instruct,pin_cushion,B,10.0,245.0,6.0,2.5,35.0,13.0,189.0,7.0,1.1,32.0
qwen2.5-7b-instruct,pin_cushion,A,2.0,290.0,8.0,2.8,30.0,14.0,140.0,2.0,1.9,25.0
qwen2.5-7b-instruct,pin_cushion,A,8.0,320.0,8.0,2.7,25.0,10.0,333.0,7.0,2.0,29.0
qwen2.5-7b-instruct,pin_cushion,A,13.0,59.0,8.0,0.9,20.0,11.0,255.0,5.0,0.7,17.0
qwen2.5-7b-instruct,pin_cushion,B,6.0,93.0,8.0,1.0,26.0,8.0,367.0,9.0,2.1,22.0
qwen2.5-7b-instruct,pin_cushion,A,4.0,302.0,5.0,2.3,21.0,12.0,211.0,4.0,1.0,38.0
qwen2.5-7b-instruct,pin_cushion,A,9.0,295.0,9.0,0.6,31.0,7.0,160.0,9.0,1.1,27.0
qwen2.5-7b-instruct,pin_cushion,B,8.0,112.0,4.0,0.5,30.0,11.0,500.0,10.0,1.3,44.0
qwen2.5-7b-instruct,pin_cushion,B,3.0,117.0,6.0,2.2,33.0,3.0,234.0,6.0,1.5,38.0
qwen2.5-7b-instruct,pin_cushion,A,12.0,89.0,6.0,2.2,39.0,11.0,490.0,8.0,1.5,40.0
qwen2.5-7b-instruct,pin_cushion,A,11.0,319.0,7.0,2.4,36.0,8.0,404.0,5.0,2.4,42.0
qwen2.5-7b-instruct,pin_cushion,A,9.0,117.0,9.0,1.0,21.0,3.0,239.0,5.0,2.5,20.0
qwen2.5-7b-instruct,pin_cushion,A,7.0,396.0,2.0,1.5,19.0,13.0,185.0,3.0,0.8,21.0
qwen2.5-7b-instruct,pin_cushion,A,12.0,102.0,2.0,1.1,16.0,12.0,391.0,6.0,1.3,16.0
qwen2.5-7b-instruct,pin_cushion,A,12.0,159.0,6.0,3.0,22.0,12.0,247.0,6.0,1.5,36.0
qwen2.5-7b-instruct,pin_cushion,B,9.0,65.0,9.0,1.1,26.0,9.0,317.0,8.0,0.8,26.0
qwen2.5-7b-instruct,pin_cushion,A,11.0,262.0,4.0,2.5,44.0,11.0,291.0,3.0,1.7,39.0
qwen2.5-7b-instruct,pin_cushion,A,6.0,247.0,6.0,1.3,33.0,6.0,465.0,9.0,1.3,17.0
qwen2.5-7b-instruct,pin_cushion,A,2.0,416.0,5.0,0.8,16.0,13.0,143.0,9.0,1.4,34.0
qwen2.5-7b-instruct,pin_cushion,A,7.0,345.0,3.0,1.2,19.0,3.0,303.0,10.0,0.5,41.0
qwen2.5-7b-instruct,pin_cushion,A,6.0,122.0,2.0,1.4,18.0,9.0,256.0,3.0,2.7,33.0
qwen2.5-7b-instruct,pin_cushion,B,13.0,158.0,8.0,2.2,38.0,5.0,477.0,6.0,0.7,43.0
qwen2.5-7b-instruct,pin_cushion,A,6.0,453.0,4.0,0.7,30.0,10.0,353.0,7.0,1.4,38.0
qwen2.5-7b-instruct,pin_cushion,A,9.0,115.0,7.0,1.4,31.0,4.0,164.0,4.0,2.2,16.0
qwen2.5-7b-instruct,pin_cushion,A,8.0,231.0,9.0,0.8,30.0,13.0,234.0,10.0,1.1,30.0
qwen2.5-7b-instruct,pin_cushion,A,6.0,177.0,3.0,2.4,35.0,14.0,265.0,3.0,2.2,43.0
qwen2.5-7b-instruct,pin_cushion,A,10.0,168.0,6.0,2.6,40.0,11.0,384.0,2.0,0.8,15.0
qwen2.5-7b-instruct,pin_cushion,B,8.0,270.0,2.0,2.5,31.0,12.0,485.0,8.0,2.4,34.0
qwen2.5-7b-instruct,pin_cushion,B,9.0,396.0,8.0,1.2,39.0,4.0,290.0,9.0,1.0,42.0
qwen2.5-7b-instruct,pin_cushion,B,9.0,378.0,3.0,0.6,23.0,10.0,452.0,7.0,1.8,26.0
qwen2.5-7b-instruct,pin_cushion,A,9.0,371.0,9.0,1.4,35.0,7.0,164.0,2.0,1.5,33.0
qwen2.5-7b-instruct,pin_cushion,A,9.0,252.0,8.0,1.6,36.0,10.0,477.0,5.0,1.6,38.0
qwen2.5-7b-instruct,pin_cushion,B,6.0,408.0,5.0,0.9,31.0,10.0,187.0,4.0,3.0,30.0
qwen2.5-7b-instruct,pin_cushion,B,12.0,239.0,6.0,1.2,20.0,14.0,357.0,4.0,1.5,32.0
qwen2.5-7b-instruct,pin_cushion,A,3.0,327.0,10.0,2.2,29.0,4.0,293.0,7.0,2.2,41.0
qwen2.5-7b-instruct,sugar_bowl,B,11.0,2.2,99.0,29.0,1.8,17.0,3.8,88.0,35.0,1.5
qwen2.5-7b-instruct,sugar_bowl,A,23.0,3.5,99.0,25.0,0.8,10.0,2.9,87.0,34.0,1.2
qwen2.5-7b-instruct,sugar_bowl,A,23.0,2.8,70.0,28.0,1.5,10.0,3.5,76.0,42.0,1.2
qwen2.5-7b-instruct,sugar_bowl,A,23.0,3.2,92.0,17.0,1.8,24.0,2.3,87.0,16.0,1.8
qwen2.5-7b-instruct,sugar_bowl,B,22.0,3.8,93.0,24.0,1.4,7.0,2.2,87.0,36.0,0.9
qwen2.5-7b-instruct,sugar_bowl,B,6.0,2.1,80.0,23.0,1.9,18.0,3.8,93.0,35.0,1.6
qwen2.5-7b-instruct,sugar_bowl,A,10.0,3.5,87.0,33.0,1.2,14.0,3.7,94.0,17.0,1.8
qwen2.5-7b-instruct,sugar_bowl,B,16.0,2.1,94.0,41.0,1.2,14.0,2.5,76.0,29.0,1.2
qwen2.5-7b-instruct,sugar_bowl,B,18.0,3.3,76.0,37.0,1.2,13.0,2.4,88.0,34.0,1.7
qwen2.5-7b-instruct,sugar_bowl,A,21.0,2.7,86.0,32.0,1.1,6.0,3.5,97.0,27.0,1.9
qwen2.5-7b-instruct,sugar_bowl,A,7.0,3.2,82.0,32.0,1.0,19.0,2.4,79.0,24.0,1.1
qwen2.5-7b-instruct,sugar_bowl,B,13.0,3.9,85.0,30.0,0.7,16.0,3.5,91.0,43.0,1.4
qwen2.5-7b-instruct,sugar_bowl,B,13.0,3.7,99.0,44.0,0.7,18.0,2.3,78.0,37.0,1.8
qwen2.5-7b-instruct,sugar_bowl,A,17.0,2.6,85.0,21.0,0.9,10.0,3.9,98.0,16.0,1.8
qwen2.5-7b-instruct,sugar_bowl,B,19.0,3.4,78.0,29.0,1.7,19.0,3.9,72.0,22.0,1.1
qwen2.5-7b-instruct,sugar_bowl,A,13.0,4.0,99.0,39.0,1.5,20.0,3.7,76.0,32.0,2.0
qwen2.5-7b-instruct,sugar_bowl,B,9.0,2.9,81.0,40.0,1.2,8.0,2.7,89.0,29.0,0.5
qwen2.5-7b-instruct,sugar_bowl,B,21.0,2.6,71.0,32.0,1.5,17.0,2.2,71.0,35.0,1.3
qwen2.5-7b-instruct,sugar_bowl,B,6.0,3.1,73.0,27.0,1.6,10.0,2.8,92.0,20.0,1.4
qwen2.5-7b-instruct,sugar_bowl,A,7.0,3.4,77.0,25.0,2.0,20.0,2.4,94.0,24.0,1.2
